sequence,part,module,exercise,activity,block_type,content_type,input_type,tool_id,connection_id,content
1,1,0,0,0,content,heading,,,,Part 1: Roots
2,1,0,0,0,content,heading,,,,Understanding Your Foundation
3,1,0,0,0,content,heading,,,,Overview
4,1,0,0,0,content,instruction,,,,"The first part of the tree is the roots. The roots tell us where we came from, where we have been, and what makes us up. Understanding your roots will help them to grow, furthering the stability of your tree, allowing you to reach ever greater heights. Without our roots, we have nothing to hold us up while we reach for the sky."
5,1,0,0,0,content,instruction,,,,"Roots are hard. Factual and literal, they are a part of history. Now is not the time for conjecture, imagination, or possibilities; those will come in later parts. No two root systems look the same, different people have different needs, skills, and preferences, but the basic components are the same."
6,1,0,0,0,content,instruction,,,,"With this and every activity, be honest with yourself. Honesty is always the answer. Nobody wins when you lie. Do not lie; do not exaggerate. Give yourself credit for the things you have done. Acknowledge even the smallest accomplishments."
7,1,0,0,0,content,instruction,,,,"Life designer Bill Burnett separates our life into four categories: love, health, work, and play.¹ These will be our four primary roots."
8,1,0,0,0,content,instruction,,,,"**Work** is anything related to the creation of value. Work is any economic activity, regardless of your compensation for that activity. Any activities you engage in with the intent of attaining some goal is work. Doing chores, volunteering, earning degrees, and sales are all to be considered work."
9,1,0,0,0,content,instruction,,,,"**Play** is nearly the opposite. Play is any activity you engage in for the joy of doing it. If you are competing or trying to accomplish something, then it is not play. Play is what most young children do, without a worry in the world, motivated only by the joy that will come. Of the four parts of life, most adults are worst at play."
10,1,0,0,0,content,instruction,,,,"**Love** is mostly for you to define. I cannot, and will not, advise you on matters of love. If you so choose, there are plenty of other resources on the topic. None-the-less, it is vital for every person and should be considered when planning your future."
11,1,0,0,0,content,instruction,,,,"Traditionally, **health** is broken into three categories: physical, mental, and spiritual. To reach the greatest heights, care for all three of these areas. I suggest you consider and look after your physical and spiritual health on your own. There are many resources available in the world to answer any questions you have about physical and spiritual help. Everyone has different physical and spiritual needs, so the exercises here focus on mental health. The importance of health cannot be understated."
12,1,0,0,0,content,instruction,,,,"Understanding all four of these parts of your life will help clarify the path in front of you, not to mention how useful it will be to have all of this information in one place. Save your interpretations for the next part."
13,1,0,0,0,content,instruction,,,,"You can only ever be exactly where you are, so let's figure out where you're rooted..."
14,1,1,0,0,content,heading,,,,Module 1.1: Work Factors 1
15,1,1,0,0,content,heading,,,,Module Overview
16,1,1,0,0,content,instruction,,,,"**Focus:** Skills, Talents & Knowledge<br>**Purpose:** Create a comprehensive inventory of your capabilities across three categories: transferable skills, self-management skills, and knowledges<br>**Estimated Time:** 2-3 hours<br>**Key Tools:** Ranking Grid, SOARED Framework, 16Personalities assessment"
17,1,1,0,0,content,instruction,,,,**Outputs:**
18,1,1,0,0,content,instruction,,,,- Top 10 ranked transferable skills with mastery ratings
19,1,1,0,0,content,instruction,,,,- Top 10 ranked self-management (soft) skills
20,1,1,0,0,content,instruction,,,,- Complete knowledge inventory with mastery ratings
21,1,1,0,0,content,heading,,,,Skills and Talents
22,1,1,0,0,content,instruction,,,,"Skills are the most basic unit of performance. Most people think their skills are limited to specific work situations. The goal of this exercise is for you to take full stock of all of your skills, take note of the ones you enjoy the most, and to present them professionally."
23,1,1,0,0,content,instruction,,,,"According to researcher Sydney Fine, skills can be broken down into three categories: Knowledges, Self-management, and Transferable Skills.²"
24,1,1,0,0,content,instruction,,,,"**Knowledges** are the topics you know, generally nouns.<br>*Example: Spanish, chemical engineering, graphic design*"
25,1,1,0,0,content,instruction,,,,"**Self-management skills** describe the way you do your work, generally adjectives/adverbs.<br>*Example: Relentless, innovative, meticulous*"
26,1,1,0,0,content,instruction,,,,"**Transferable skills** are the things you can do, generally verbs.<br>*Example: Teach, paint, repair, negotiate*"
27,1,1,0,0,content,instruction,,,,Knowledge is knowing a second language. Self-Management is how often and diligently you practice. Transferable skill is using your second language to some benefit.
28,1,1,0,0,content,instruction,,,,"All of these are important. First, we want active verbs describing work you can do."
29,1,1,0,0,content,note,,,,Browse the Skills Library for ideas and reference examples.
30,1,1,1,0,content,heading,,,,Exercise 1.1.1: Transferable Skills Inventory
31,1,1,1,0,content,instruction,,,,"**Purpose:** Identify, document, and rank your transferable skills through professional reflection and story analysis using the SOARED framework."
32,1,1,1,1,content,heading,,,,Activity 1.1.1a: Professional Talents Audit
33,1,1,1,1,content,instruction,,,,"Record any talent you have used professionally. Start by listing your professional and educational history, then identify the skills each required."
34,1,1,1,1,prompt,,textarea,,,"List every job you have had, every significant project you have completed, and every important course you have taken."
