id,part,module,exercise,activity,sequence,block_type,content_id,connection_id
100000,1,0,0,0,1,content,100000,
100001,1,0,0,0,2,content,100001,
100002,1,0,0,0,3,content,100002,
100003,1,0,0,0,4,content,100003,
100004,1,0,0,0,5,content,100004,
100005,1,0,0,0,6,content,100005,
100006,1,0,0,0,7,content,100006,
100007,1,0,0,0,8,content,100007,
100008,1,0,0,0,9,content,100008,
100009,1,0,0,0,10,content,100009,
100010,1,0,0,0,11,content,100010,
100011,1,0,0,0,12,content,100011,
100012,1,0,0,0,13,content,100012,
100013,1,1,0,0,14,content,100013,
100014,1,1,0,0,15,content,100014,
100015,1,1,0,0,16,content,100015,
100016,1,1,0,0,17,content,100016,
100017,1,1,0,0,18,content,100017,
100018,1,1,0,0,19,content,100018,
100019,1,1,0,0,20,content,100019,
100020,1,1,0,0,21,content,100020,
100021,1,1,0,0,22,content,100021,
100022,1,1,0,0,23,content,100022,
100023,1,1,0,0,24,content,100023,
100024,1,1,0,0,25,content,100024,
100025,1,1,0,0,26,content,100025,
100026,1,1,0,0,27,content,100026,
100027,1,1,0,0,28,content,100027,
100028,1,1,0,0,29,content,100028,
100029,1,1,1,0,30,content,100029,
100030,1,1,1,0,31,content,100030,
100031,1,1,1,1,32,content,100031,
100032,1,1,1,1,33,content,100032,
100033,1,1,1,1,34,prompt,100000,
100034,1,1,1,1,35,content,100033,
100035,1,1,1,1,36,tool,100000,
100036,1,1,1,2,37,content,100034,
100037,1,1,1,2,38,content,100035,
100038,1,1,1,2,39,prompt,100001,
100039,1,1,1,2,40,prompt,100002,
100040,1,1,1,2,41,prompt,100003,
100041,1,1,1,2,42,prompt,100004,
100042,1,1,1,2,43,prompt,100005,
100043,1,1,1,2,44,prompt,100006,
100044,1,1,1,2,45,prompt,100007,
100045,1,1,1,2,46,prompt,100008,
100046,1,1,1,2,47,prompt,100009,
100047,1,1,1,2,48,prompt,100010,
100048,1,1,1,3,49,content,100036,
100049,1,1,1,3,50,content,100037,
100050,1,1,1,3,51,content,100038,
100051,1,1,1,3,52,content,100039,
100052,1,1,1,3,53,tool,100001,
100053,1,1,1,3,54,content,100040,
100054,1,1,1,3,55,tool,100001,
100055,1,1,1,3,56,content,100041,
100056,1,1,1,3,57,tool,100001,
100057,1,1,1,4,58,content,100042,
100058,1,1,1,4,59,content,100043,
100059,1,1,1,4,60,content,100044,
100060,1,1,1,4,61,tool,100002,
100061,1,1,1,5,62,content,100045,
100062,1,1,1,5,63,content,100046,
100063,1,1,1,5,64,content,100047,100002
100064,1,1,1,5,65,tool,100000,100002
100065,1,1,1,5,66,content,100048,
100066,1,1,1,5,67,content,100049,100061
100067,1,1,1,5,68,tool,100003,100061
100068,1,1,2,0,69,content,100050,
100069,1,1,2,0,70,content,100051,
100070,1,1,2,0,71,content,100052,
100071,1,1,2,0,72,content,100053,
100072,1,1,2,0,73,content,100054,
100073,1,1,2,0,74,content,100055,
100074,1,1,2,0,75,content,100056,
100075,1,1,2,1,76,content,100057,
100076,1,1,2,1,77,content,100058,
100077,1,1,2,1,78,content,100059,
100078,1,1,2,1,79,content,100060,
100079,1,1,2,1,80,content,100061,
100080,1,1,2,1,81,content,100062,
100081,1,1,2,1,82,content,100063,
100082,1,1,2,1,83,content,100064,
100083,1,1,2,1,84,tool,100004,
100084,1,1,2,1,85,content,100065,
100085,1,1,2,2,86,content,100066,
100086,1,1,2,2,87,content,100067,
100087,1,1,2,2,88,content,100068,
100088,1,1,2,2,89,prompt,100011,
100089,1,1,2,2,90,content,100069,
100090,1,1,2,2,91,prompt,100012,
100091,1,1,2,2,92,content,100070,
100092,1,1,2,2,93,prompt,100013,
100093,1,1,2,2,94,content,100071,
100094,1,1,2,2,95,prompt,100014,
100095,1,1,2,2,96,content,100072,
100096,1,1,2,2,97,content,100073,
100097,1,1,2,3,98,content,100074,
100098,1,1,2,3,99,content,100075,
100099,1,1,2,3,100,prompt,100015,
100100,1,1,2,3,101,prompt,100016,
100101,1,1,2,4,102,content,100076,
100102,1,1,2,4,103,content,100077,
100103,1,1,2,4,104,content,100078,
100104,1,1,2,4,105,tool,100000,
100105,1,1,2,4,106,content,100079,100061
100106,1,1,2,4,107,tool,100003,100061
100107,1,1,2,5,108,content,100080,
100108,1,1,2,5,109,content,100081,
100109,1,1,2,5,110,content,100082,100005
100110,1,1,2,5,111,prompt,100017,
100111,1,1,2,5,112,prompt,100018,
