id,competency_id,level,description,job_context
cl-0101,comp-01,1,"Separates important information from noise. Pulls together data from multiple sources to form conclusions.",Entry-level and support roles
cl-0102,comp-01,2,"Spots connections and patterns in data. Anticipates downstream effects. Recognizes non-obvious cause-and-effect relationships.",Individual contributors with some experience
cl-0103,comp-01,3,"Handles ambiguous, complex analysis independently. Identifies gaps in available information and makes reasonable assumptions to move forward.",Mid-level professionals and specialists
cl-0104,comp-01,4,"Builds frameworks that guide how others approach analysis. Combines analytical rigor with experiential judgment to reach sound conclusions.",Senior professionals and managers
cl-0105,comp-01,5,"Recognized as a go-to resource for interpreting complex situations. Knows how much pressure to apply to different aspects of analysis based on broader context.",Directors and executives
cl-0201,comp-02,1,"Sets ambitious but achievable personal goals. Delivers quality work on time and meets performance standards consistently.",Entry-level and support roles
cl-0202,comp-02,2,"Questions existing practices to find better approaches. Improves workflows and team outcomes. Works around obstacles with minimal hand-holding.",Individual contributors with some experience
cl-0203,comp-02,3,"Adjusts priorities within their scope when circumstances change. Weighs implications of different courses of action. Initiates improvements that lift team performance.",Mid-level professionals and specialists
cl-0204,comp-02,4,"Sets stretch goals for their area that connect to business opportunities. Assesses risk before acting. Knows when to move and when to wait.",Senior professionals and managers
cl-0205,comp-02,5,"Evaluates group performance against objectives and identifies gaps. Translates opportunities into concrete actions that benefit the organization. Takes calculated risks to drive progress.",Directors and executives
cl-0301,comp-03,1,"Adjusts writing style and content for different readers. Presents factual information concisely and clearly.",Entry-level and support roles
cl-0302,comp-03,2,"Synthesizes information from multiple sources into coherent, logical documents. Uses visuals effectively to communicate data.",Individual contributors with some experience
cl-0303,comp-03,3,"Writes effectively on complex, specialized topics. Captures nuance and qualifiers so readers fully understand the material.",Mid-level professionals and specialists
cl-0304,comp-03,4,"Translates technical content for non-expert audiences. Shapes written communication to influence decisions and direction. Edits others' work effectively.",Senior professionals and managers
cl-0305,comp-03,5,"Handles high-stakes strategic communication for the organization. Reviews sensitive material and understands its broader implications.",Directors and executives
cl-0401,comp-04,1,"Suggests alternative approaches. Recognizes value in perspectives different from their own. Stays positive when facing ambiguity or change.",Entry-level and support roles
cl-0402,comp-04,2,"Anticipates the need to adapt as technology and circumstances evolve. Builds on others' ideas. Embraces new approaches relevant to their work.",Individual contributors with some experience
cl-0403,comp-04,3,"Looks inside and outside the organization for better practices. Stays genuinely open-minded and encourages others to challenge assumptions.",Mid-level professionals and specialists
cl-0404,comp-04,4,"Shapes business practices and policies. Introduces new perspectives that shift strategy. Helps others see the upside of doing things differently.",Senior professionals and managers
cl-0405,comp-04,5,"Responds nimbly to internal and external challenges. Actively seeks input from all levels and responds constructively to ideas regardless of source.",Directors and executives
cl-0501,comp-05,1,"Organizes resources to meet expectations and flags problems early. Plans and coordinates to deliver within deadlines.",Entry-level and support roles
cl-0502,comp-05,2,"Allocates resources based on business priorities. Manages timelines and milestones. Advises on procedures and financial implications.",Individual contributors with some experience
cl-0503,comp-05,3,"Controls resources within their scope. Identifies what's needed to support current work. Manages delivery processes and deadlines.",Mid-level professionals and specialists
cl-0504,comp-05,4,"Develops practical solutions to resource constraints. Allocates budget in line with goals and priorities. Organizes workflows efficiently to deliver on time.",Senior professionals and managers
cl-0505,comp-05,5,"Redefines priorities and reorganizes teams to meet shifting demands. Evaluates financial impact of decisions and develops strategies to address resource gaps.",Directors and executives
cl-0601,comp-06,1,"Proactively collaborates and helps colleagues deliver their work. Shares relevant information and seeks input. Expresses opinions while staying respectful and grounded in facts.",Entry-level and support roles
cl-0602,comp-06,2,"Supports others' independent action. Resolves issues with minimal direction. Builds on teammates' ideas. Takes on extra responsibility to help the team succeed.",Individual contributors with some experience
cl-0603,comp-06,3,"Takes accountability for work delegated to others. Seeks out complementary skills. Creates space for dissenting views. Handles team conflict sensitively and fairly.",Mid-level professionals and specialists
cl-0604,comp-06,4,"Provides clear direction and priorities. Delegates meaningfully and holds people accountable. Facilitates conflict resolution. Recognizes individual and team contributions.",Senior professionals and managers
