id,content_type,content,version,is_active
100000,heading,Part 1: Roots,1,True
100001,heading,Understanding Your Foundation,1,True
100002,heading,Overview,1,True
100003,instruction,"The first part of the tree is the roots. The roots tell us where we came from, where we have been, and what makes us up. Understanding your roots will help them to grow, furthering the stability of your tree, allowing you to reach ever greater heights. Without our roots, we have nothing to hold us up while we reach for the sky.",1,True
100004,instruction,"Roots are hard. Factual and literal, they are a part of history. Now is not the time for conjecture, imagination, or possibilities; those will come in later parts. No two root systems look the same, different people have different needs, skills, and preferences, but the basic components are the same.",1,True
100005,instruction,"With this and every activity, be honest with yourself. Honesty is always the answer. Nobody wins when you lie. Do not lie; do not exaggerate. Give yourself credit for the things you have done. Acknowledge even the smallest accomplishments.",1,True
100006,instruction,"Life designer Bill Burnett separates our life into four categories: love, health, work, and play.¹ These will be our four primary roots.",1,True
100007,instruction,"**Work** is anything related to the creation of value. Work is any economic activity, regardless of your compensation for that activity. Any activities you engage in with the intent of attaining some goal is work. Doing chores, volunteering, earning degrees, and sales are all to be considered work.",1,True
100008,instruction,"**Play** is nearly the opposite. Play is any activity you engage in for the joy of doing it. If you are competing or trying to accomplish something, then it is not play. Play is what most young children do, without a worry in the world, motivated only by the joy that will come. Of the four parts of life, most adults are worst at play.",1,True
100009,instruction,"**Love** is mostly for you to define. I cannot, and will not, advise you on matters of love. If you so choose, there are plenty of other resources on the topic. None-the-less, it is vital for every person and should be considered when planning your future.",1,True
100010,instruction,"Traditionally, **health** is broken into three categories: physical, mental, and spiritual. To reach the greatest heights, care for all three of these areas. I suggest you consider and look after your physical and spiritual health on your own. There are many resources available in the world to answer any questions you have about physical and spiritual help. Everyone has different physical and spiritual needs, so the exercises here focus on mental health. The importance of health cannot be understated.",1,True
100011,instruction,"Understanding all four of these parts of your life will help clarify the path in front of you, not to mention how useful it will be to have all of this information in one place. Save your interpretations for parts 2 & 3; Trunk and Branches.",1,True
100012,instruction,"You can only ever be exactly where you are, so let's figure out where you're rooted...",1,True
100013,heading,Module 1.1: Work Factors 1,1,True
100014,heading,Module Overview,1,True
100015,instruction,"**Focus:** Skills, Talents & Knowledge<br>**Purpose:** Create a comprehensive inventory of your capabilities across three categories: transferable skills, self-management skills, and knowledges<br>**Estimated Time:** 2-3 hours<br>**Key Tools:** Ranking Grid, SOARED Framework, 16Personalities assessment",1,True
100016,instruction,**Outputs:**,1,True
100017,instruction,- Top 10 ranked transferable skills with mastery ratings,1,True
100018,instruction,- Top 10 ranked self-management (soft) skills,1,True
100019,instruction,- Complete knowledge inventory with mastery ratings,1,True
100020,heading,Skills and Talents,1,True
100021,instruction,"Skills are the most basic unit of performance. Most people think their skills are limited to specific work situations. The goal of this exercise is for you to take full stock of all of your skills, take note of the ones you enjoy the most, and to present them professionally.",1,True
100022,instruction,"According to researcher Sydney Fine, skills can be broken down into three categories: Knowledges, Self-management, and Transferable Skills.²",1,True
