id,prompt_text,input_type,input_config,version,is_active
100000,"List every job you have had, every significant project you have completed, and every important course you have taken.",textarea,,1,True
100001,A time when you had an impact,textarea,,1,True
100002,A time you did something no one else around could have done,textarea,,1,True
100003,A time when you were genuinely excited,textarea,,1,True
100004,A time when you impressed yourself,textarea,,1,True
100005,A time when everything went according to plan,textarea,,1,True
100006,A time when nothing went according to plan,textarea,,1,True
100007,A time when you loved what you were doing,textarea,,1,True
100008,A time you did something you would like to do again,textarea,,1,True
100009,A time you did something you would not normally do,textarea,,1,True
100010,Any other story which represents your skillset,textarea,,1,True
100011,Rate yourself: Extraversion (E) ←→ Introversion (I),slider,,1,True
100012,Rate yourself: Sensing (S) ←→ Intuition (N),slider,,1,True
100013,Rate yourself: Thinking (T) ←→ Feeling (F),slider,,1,True
100014,Rate yourself: Judging (J) ←→ Perceiving (P),slider,,1,True
100015,"Record any characteristics, strengths, and weaknesses which describe you.",textarea,,1,True
100016,"Record 1-5 characteristics, strengths, or weaknesses which match your MBTI type, but not you personally. Explain why they are false.",textarea,,1,True
100017,"For each skill, note a specific time you demonstrated it. Draw from your SOARED stories for evidence.",textarea,,1,True
100018,Add HONEST hard figures to your descriptions. Numbers. Data. Records. Accomplishments. They must be HONEST. You do not want to lie or exaggerate.,textarea,,1,True
100019,Write down every job you have had.,textarea,,1,True
100020,"Write every skill, process, or task you had to perform for those jobs.",textarea,,1,True
100021,"Write down every course, program, training, and degree you have completed.",textarea,,1,True
100022,"Write every skill, process, or task you had to perform pursuing those.",textarea,,1,True
100023,"What else do you know? What are your favorite hobbies? What do you research in your free time? If you wrote a book, what would the content be?",textarea,,1,True
100024,What tasks or activities seem to make time fly?,textarea,,1,True
100025,"List fields, careers, or industries that interest you.",textarea,,1,True
100026,"Do you know where you want to live? If you do, write that here. If not, write down the characteristics of a place that you might want to live. (Example: by the ocean, has an active nightlife, quiet, access to nature, etc.)",textarea,,1,True
100027,What are your location constraints?,textarea,,1,True
100028,Do you need to live in a specific country?,textarea,,1,True
100029,Do you need to stay close to your family?,textarea,,1,True
100030,Do you have medical needs that affect location?,textarea,,1,True
100031,Write down every place you have lived.,textarea,,1,True
100032,List every single thing you disliked about those places. (What does it have? What does it lack? What type of people are there? What feelings does it give you?),textarea,,1,True
100033,"List the opposites of each of the location traits you dislike. Also, list any positive traits that come to mind.",textarea,,1,True
100034,Search the Internet for places which excel in each of your desired traits. Are there any which excel in multiple? Find 5-10 places which make you excited. Record what excites you about each location.,textarea,,1,True
100035,Share your ranked list of location traits and ask 10-20 people if they know of anywhere which has those traits. Record their ideas. Are there any locations which excel in multiple traits? Find 5-10 places which make you excited.,textarea,,1,True
100036,List every job you have had.,textarea,,1,True
