id,part,module,exercise,activity,sequence,block_type,content_id,connection_id
100000,1,0,0,0,1,content,100000,
100001,1,0,0,0,2,content,100001,
100002,1,0,0,0,3,content,100002,
100003,1,0,0,0,4,content,100003,
100004,1,0,0,0,5,content,100004,
100005,1,0,0,0,6,content,100005,
100006,1,0,0,0,7,content,100006,
100007,1,0,0,0,8,content,100007,
100008,1,0,0,0,9,content,100008,
100009,1,1,0,0,10,content,100009,
100010,1,1,0,0,11,content,100010,
100011,1,1,0,0,12,content,100011,
100012,1,1,0,0,13,content,100012,
100013,1,1,0,0,14,content,100013,
100014,1,1,0,0,15,content,100014,
100015,1,1,0,0,16,content,100015,
100016,1,1,0,0,17,content,100016,
100017,1,1,0,0,18,content,100017,
100018,1,1,0,0,19,content,100018,
100019,1,1,0,0,20,content,100019,
100020,1,1,0,0,21,content,100020,
100021,1,1,0,0,22,content,100021,
100022,1,1,0,0,23,content,100022,
100023,1,1,0,0,24,content,100023,
100024,1,1,1,0,25,content,100024,
100025,1,1,1,1,26,content,100025,
100026,1,1,1,1,27,tool,100000,
100027,1,1,1,2,28,content,100026,
100028,1,1,1,2,29,tool,100000,100000
100029,1,1,1,3,30,content,100027,
100030,1,1,1,3,31,tool,100000,100001
100031,1,1,2,0,32,content,100028,
100032,1,1,2,1,33,content,100029,
100033,1,1,2,1,34,prompt,100000,100002
100034,1,1,2,2,35,content,100030,
100035,1,1,2,2,36,prompt,100001,
100036,1,1,2,3,37,content,100031,
100037,1,1,2,3,38,prompt,100002,
100038,1,1,2,4,39,content,100032,
100039,1,1,2,4,40,prompt,100003,
100040,1,1,2,5,41,content,100033,
100041,1,1,2,5,42,prompt,100004,
100042,1,1,2,6,43,content,100034,
100043,1,1,2,6,44,prompt,100005,
100044,1,1,2,7,45,content,100035,
100045,1,1,2,7,46,prompt,100006,
100046,1,1,2,8,47,content,100036,
100047,1,1,2,8,48,prompt,100007,
100048,1,1,2,9,49,content,100037,
100049,1,1,2,9,50,prompt,100008,
100050,1,1,2,10,51,content,100038,
100051,1,1,2,10,52,prompt,100009,
100052,1,1,3,0,53,content,100039,
100053,1,1,3,0,54,content,100040,
100054,1,1,3,0,55,content,100041,
100055,1,1,3,0,56,content,100042,
100056,1,1,3,0,57,content,100043,
100057,1,1,3,0,58,content,100044,
100058,1,1,3,0,59,content,100045,
100059,1,1,3,2,60,tool,100001,100003
100060,1,1,3,3,61,tool,100001,100004
100061,1,1,3,4,62,tool,100001,100005
100062,1,1,4,0,63,content,100046,
100063,1,1,4,0,64,tool,100000,100006
100064,1,1,5,0,65,content,100047,
100065,1,1,6,0,66,content,100048,
100066,1,1,7,0,67,content,100049,
100067,1,1,7,0,68,tool,100003,100007
100068,1,1,7,0,69,content,100050,
100069,1,1,7,0,70,content,100051,
100070,1,1,7,0,71,content,100052,
100071,1,1,7,0,72,content,100053,
100072,1,1,7,0,73,content,100054,
100073,1,1,7,0,74,content,100055,
100074,1,1,7,0,75,content,100056,
100075,1,1,7,0,76,content,100057,
100076,1,1,7,0,77,content,100058,
100077,1,1,7,0,78,content,100059,
100078,1,1,7,0,79,content,100060,
100079,1,1,7,0,80,content,100061,
100080,1,1,7,0,81,content,100062,
100081,1,1,7,0,82,content,100063,
100082,1,1,7,0,83,content,100064,
100083,1,1,7,0,84,content,100065,
100084,1,1,7,0,85,prompt,100010,
100085,1,1,7,0,86,content,100066,
100086,1,1,7,0,87,content,100067,
100087,1,1,7,0,88,content,100068,
100088,1,1,7,0,89,content,100069,
100089,1,1,7,0,90,prompt,100011,
100090,1,1,7,0,91,content,100070,
100091,1,1,7,0,92,content,100071,
100092,1,1,7,0,93,prompt,100012,
100093,1,1,7,0,94,content,100072,
100094,1,1,7,0,95,content,100073,
100095,1,1,7,0,96,prompt,100013,
100096,1,1,7,0,97,content,100074,
100097,1,1,7,0,98,content,100075,
100098,1,1,7,0,99,prompt,100014,
100099,1,1,7,0,100,content,100076,
100100,1,1,7,0,101,content,100077,
100101,1,1,1,0,102,content,100078,
100102,1,1,1,1,103,content,100079,
100103,1,1,1,1,104,content,100080,
100104,1,1,1,2,105,content,100081,
100105,1,1,1,2,106,content,100082,
100106,1,1,1,3,107,content,100083,
100107,1,1,1,3,108,content,100084,
100108,1,1,2,0,109,content,100085,
100109,1,1,2,0,110,prompt,100015,100008
100110,1,1,3,0,111,content,100086,
100111,1,1,3,0,112,content,100087,
