id,prompt_text,input_type,input_config,version,is_active
100000,a) A time when you had an impact,textarea,,1,True
100001,b) A time you did something no one else around could have done,textarea,,1,True
100002,c) A time when you were genuinely excited,textarea,,1,True
100003,d) A time when you impressed yourself,textarea,,1,True
100004,e) A time when everything went according to plan,textarea,,1,True
100005,f) A time when nothing went according to plan,textarea,,1,True
100006,g) A time when you loved what you were doing,textarea,,1,True
100007,h) A time you did something you would like to do again,textarea,,1,True
100008,i) A time you did something you would not normally do,textarea,,1,True
100009,j) Any other story which represents your skillset,textarea,,1,True
100010,Write your four letter MBTI code here:,text_input,,1,True
100011,"Introverts are more likely to be energized by alone time, be more private, keep their thoughts to themselves, and listen before speaking.",slider,"{""labels"": [""e"", ""i""]}",1,True
100012,Intuitives tend to be concerned with innovation and what is possible. They tend to be more figurative and are oriented towards the future.,slider,"{""labels"": [""s"", ""n""]}",1,True
100013,"Feelers are likely to be most concerned with harmony, empathizing with involved parties with tact when making decisions. May be seen as overemotional, valuing all feelings equally.",slider,"{""labels"": [""t"", ""f""]}",1,True
100014,Perceivers prefer to keep their options open and thrive when adapting to new situations. They often view time and deadlines as elastic.,slider,"{""labels"": [""j"", ""p""]}",1,True
100015,"2. These are the remaining characteristics, strengths, or weaknesses which match your MBTI type, but you didn't select above. Reflect and explain why they are false.",textarea,,1,True
100016,(possibly from your written stories),textarea,"{""raw"": ""list builder""}",1,True
100017,"a) If you do, write that here. If not, write down the characteristics of a place that you might want to live. (ex. by the ocean, has an active nightlife, quiet, access to nature, etc.)",textarea,,1,True
100018,b) What are your location restraints?,textarea,,1,True
100019,c) Do you need to live in a specific country?,textarea,,1,True
100020,d) Do you need to stay close to your family?,textarea,,1,True
100021,e) Do you have medical needs?,textarea,,1,True
100022,-Are there any which excel in multiple?,textarea,,1,True
100023,-Write down your ranked list of location traits and ask 10-20 people if they know of anywhere which has those traits. Write down their ideas. ALWAYS thank them for their time and effort.,textarea,,1,True
100024,-Are there any locations which excel in multiple traits?,textarea,,1,True
100025,-Research each of the locations which embody multiple of your desired traits.,textarea,,1,True
100026,-Do number 4 together. Compare your findings. Discuss honestly. Agree upon ten possible locations. Rank together.,textarea,,1,True
100027,"Pay the most attention to, make a special note of, your top 3 locations.",textarea,,1,True
100028,Consider the above. Describe your ideal workplace.,textarea,,1,True
100029,a) How does the office look?,textarea,,1,True
100030,b) What is nearby?,textarea,,1,True
100031,c) Are there any important features?,textarea,,1,True
100032,d) What part of the city or town is best?,textarea,,1,True
100033,e) Is it near child care?,textarea,,1,True
100034,f) What else can you think of?,textarea,,1,True
100035,"Recall any time when you were particularly productive. The production can be from your education, the stories you wrote before, or work experience. Who was directing you? Were you serving anyone (client, etc.)?",textarea,,1,True
100036,What types of people do you want to work with?,textarea,,1,True
100037,"Do you prefer to work in teams, pairs, or alone?",radio,,1,True
100038,What types of people do you want to work for?,textarea,,1,True
100039,Who in this world do you want to serve with your work?,textarea,,1,True
100040,"– Salary (aggregate pay per year or month, regardless of hours worked)",textarea,,1,True
100041,– Hourly (pay for time worked),textarea,,1,True
100042,"– Contracting (pay agreed upon per project, typical for freelancers)",textarea,,1,True
100043,– Commission (% of sale per sale),textarea,,1,True
100044,"– Combination of above, or Other (specify)",textarea,,1,True
100045,"If you feel the need to be more specific, do so here.",textarea,,1,True
100046,"Is there any activity, task, or skill which you find both highly energizing and highly captivating?",textarea,,1,True
100047,Write a short description of each activity on the lines provided.,textarea,,1,True
100048,Are there any activities which you find both highly energizing and highly captivating?,textarea,,1,True
100049,Write a short description of each activity on the lines provided.,textarea,,1,True
100050,Are there any activities which you find both highly energizing and highly captivating?,textarea,,1,True
100051,What stories from your childhood have helped shape who you are today?,textarea,,1,True
100052,What family relationships have had particularly significant impacts upon your beliefs?,textarea,,1,True
100053,Do you have any elderly family members you care for or support? How does this shape your needs?,textarea,,1,True
100054,Do you have any children you care for or support? How does this shape your needs?,textarea,,1,True
100055,"Do you have any family members or stories which inspire you? If so, give details.",textarea,,1,True
100056,What are the most significant lessons your family has taught you?,textarea,,1,True
100057,"What group, or groups, do you identify with?",textarea,,1,True
100058,"Are you involved in any organizations, religious groups, neighborhood associations, group of friends, gaming club, or other regularly organized social events?",textarea,,1,True
100059,Why are you involved in those groups?,textarea,,1,True
100060,Do you have any personal goals concerning your community?,textarea,,1,True
100061,Is there anything that might cause you to leave your community?,textarea,,1,True
100062,Are there any worldly issues that are important to you? What are they?,textarea,,1,True
100063,What are some lessons people should learn from history?,textarea,,1,True
100064,Are there any worldly problems which you feel the need to help solve?,textarea,,1,True
100065,Have you ever traveled outside of your country? Your continent?,textarea,,1,True
100066,What have you learned from other cultures of the world?,textarea,,1,True
100067,What do you think the world will look like in 10 years?,textarea,,1,True
100068,… 50 years?,textarea,,1,True
100069,… 100 years?,textarea,,1,True
100070,They say that you are your own hardest critic. Critique yourself. What can you do better?,textarea,,1,True
100071,What are your strengths?,textarea,,1,True
100072,"Do you have an idea or memory which makes you feel most like yourself? If so, describe it.",textarea,,1,True
100073,What do you love about yourself?,textarea,,1,True
100074,What major life events have shaped you? Briefly describe them.,textarea,,1,True
100075,What is your greatest gift?,textarea,,1,True
100076,Are you willing to do what needs to be done?,textarea,,1,True
100077,Choose a skill to practice.,textarea,,1,True
100078,Dedicate at least 15 minutes of singular focus to improving that skill every single day.,checkbox,,1,True
100079,Practice the skill every single day. Don't stop.,checkbox,,1,True
100080,"If you grow tired of practicing this skill, reach a level of mastery, or otherwise, choose another skill and repeat the process. This is the never-ending task of self-betterment.",textarea,,1,True
100081,Who do you look up to? Who is your role model? Why?,textarea,,1,True
100082,What do you admire about that person (or those people)? What characteristics do they have that make them special?,textarea,,1,True
100083,What promises do you need to keep? To yourself? To those you care about?,textarea,,1,True
100084,What has stopped you from keeping those promises?,textarea,,1,True
100085,"Forgive yourself when you mess up. If you fall off the horse, focus on getting back on the horse, not on the fact that you fell off. Forgive. Take yourself seriously, if you don't, who will? Next.",textarea,,1,True
100086,"Sharpening your sword – choosing a useful and enjoyable skill to hone, practice, and sharpen as a way to stand out from your peers and, more importantly, to better yourself.",textarea,,1,True
100087,Mindfulness – set aside a short amount of time to practice quieting your mind each day.,textarea,,1,True
100088,1. Work,textarea,,1,True
100089,,slider,"{""min"": 1, ""max"": 10}",1,True
100090,2. Play,textarea,,1,True
100091,,slider,"{""min"": 1, ""max"": 10}",1,True
100092,3. Love,textarea,,1,True
100093,,slider,"{""min"": 1, ""max"": 10}",1,True
100094,4. Health,textarea,,1,True
100095,,slider,"{""min"": 1, ""max"": 10}",1,True
100096,"5. Overall, how are you?",textarea,,1,True
100097,,slider,"{""min"": 1, ""max"": 10}",1,True
100098,1. What does work mean to you?,textarea,,1,True
100099,2. Why do you work?,textarea,,1,True
100100,3. Why do other people work?,textarea,,1,True
100101,4. What is the purpose of people working?,textarea,,1,True
100102,"5. Other than money, what is gained from work?",textarea,,1,True
100103,"6. Are honor, growth, or fulfillment essential to work? Explain.",textarea,,1,True
100104,7. What work would you do if all your needs were guaranteed?,textarea,,1,True
100105,1. Is there a meaning of life? Give details.,textarea,,1,True
100106,2. What is the meaning of your life?,textarea,,1,True
100107,3. Why do we exist?,textarea,,1,True
100108,4. What is good?,textarea,,1,True
100109,5. What is evil?,textarea,,1,True
100110,6. What is happiness?,textarea,,1,True
100111,7. Is there a higher being?,textarea,,1,True
100112,8. Why do we experience pain and suffering?,textarea,,1,True
100113,"9. Is there some deeper meaning, mission, or purpose to life?",textarea,,1,True
100114,10. What injustices are there in the world?,textarea,,1,True
100115,1. Where do your two value systems support each other?,textarea,,1,True
100116,2. Where do they disagree?,textarea,,1,True
100117,3. Is one more important to you than the other? Which one? Why?,textarea,,1,True
